Product Names,Prices,Descriptions
 Hallo H100,"1,062৳","Display: 1.77"" TFT Color Display
Camera: Digital Camera
Battery: Li-Ion 1000mAh, removable
Features: 3.5mm Jack, Torch Light, Vibration"
 Hallo Classic,"1,081৳","Display: 1.77"" TFT Color Display
Camera: Digital Camera
Battery: Li-Ion 1000mAh, removable
Features: 3.5mm Jack, Torch Light, Vibration"
 Hallo H100 Music,"1,175৳","Display: 1.77"" TFT Color Display
Camera: Digital Camera
Battery: Li-Ion 1000mAh, removable
Features: 3.5mm Jack, Torch Light, Bluetooth"
 Hallo Power,"1,943৳","Display: 2.4"" TFT Color Display
Camera: Digital Camera
Battery: Li-Ion 2500mAh, removable
Features: Dual Torch, Bluetooth, Wireless FM"
 Nokia 105 DS (2023),"2,350৳","Display: 1.8 inches (120 x 160)
Battery: Li-Ion 1000mAh
Splash Resistance
Flashlight, FM Radio"
 Nokia 106 DS (2023) ,"2,475৳","Display: 1.8 inches (120 x 160)
Battery: Li-Ion 1000 mAh
Splash Resistance
Flashlight, FM Radio"
 Nokia 110 DS (2023),"2,999৳","Display: 1.8 inches (120 x 160)
Battery: Li-Ion 1000 mAh
Splash Resistance
Flashlight, FM Radio"
 Nokia 150 DS (2023),"4,200৳","Display: 2.4 inches (240 x 320)
Battery: Li-Ion 1450 mAh
Splash & dust resistant
Flashlight, FM radio; built-in antenna"
 Benco V82 Smartphone (3/64GB),"7,899৳","Display: 6.52"" IPS LCD HD+ Waterdrop Display
Processor: Unisoc SC9863 (28nm)
Camera: 8MP on Rear, 8MP on Front
Features: Fingerprint, Dual SIM"
 Tecno Pop 7 Smartphone (2/64GB),"8,640৳ 8,990৳","Display: 6.6"" HD+ IPS LCD Dot Notch Screen
Processor: Unisoc SC9863A1 Octa core (28nm)
Camera: Dual 8+0.08MP on Rear, 5MP on Front
Features: Rear Fingerprint, 5000mAh Battery"
 Nokia C12 Pro Smartphone (4*/64GB),"8,999৳","Display: 6.3"" HD+ (720 x 1600)
Processor: Unisoc SC9863A1 (28nm)
Camera: 8MP on Rear, 5MP Front
Features: LED flash, HDR"
 Benco V90 Smartphone (4/64GB),"9,199৳","Display: 6.82"" IPS LCD HD+ Waterdrop Display
Processor: Unisoc SC9863A (28nm)
Camera: 16MP on Rear, 8MP on Front
Features: 5000mAh Battery, Fingerprint, Dual SIM"
 Tecno POP 6 Pro Smartphone (2/32GB),"9,100৳ 9,490৳","Display: 6.6"" HD+ IPS LCD Dot Notch display
Processor: Mediatek MT6761 Helio A22 (12nm)
Camera: 8MP AI Rear Camera, 5MP Front Camera with Flash
Features: Side Fingerprint, 5000mAh Large Battery"
 Benco V90 Smartphone (4/128GB),"9,599৳","Display: 6.82"" IPS LCD HD+ Waterdrop Display
Processor: Unisoc SC9863A (28nm)
Camera: 16MP on Rear, 8MP on Front
Features: 5000mAh Battery, Fingerprint, Dual SIM"
 Benco V80 Smartphone (4/64GB),"9,990৳","Display: 6.52"" IPS LCD HD+ Waterdrop Display
Processor: Unisoc SC9863 (28nm)
Camera: 8MP on Rear, 8MP on Front
Features: Fingerprint, Dual SIM"
 Nokia C22 Smartphone (3/64GB),"9,499৳ 9,999৳","Display: 6.5"" HD+ (720 x 1600)
Processor: Unisoc SC9863A (28nm)
Camera: Dual 13MP + 2MP on Rear, 8MP Front
Features: LED flash, HDR"
 Benco V91 Smartphone (4/128GB),"9,999৳","Display: 6.56"" IPS LCD HD+ 90Hz Waterdrop Display
Processor: Unisoc T606 (12nm)
Camera: 13MP on Rear, 8MP on Front
Features: 5000mAh, Fingerprint, 18W Fast Charging"
 Infinix Hot 30i Smartphone (4/64GB),"10,499৳","Display: 6.6"" HD+ 90Hz True Bright Display
Processor: Unisoc T606 (12 nm)
Camera: Dual 13+0.08MP Rear, 8MP Front
Features: Side Fingerprint, 18W Fast Charge, Type-C"
 Benco V91 Smartphone (8/128GB),"10,999৳","Display: 6.56"" IPS LCD HD+ 90Hz Waterdrop Display
Processor: Unisoc T606 (12nm)
Camera: 13MP on Rear, 8MP on Front
Features: 5000mAh, Fingerprint, 18W Fast Charging"
 Infinix Hot 30i Smartphone (4/128GB),"10,999৳","Display: 6.6"" HD+ 90Hz True Bright Display
Processor: Unisoc T606 (12 nm)
Camera: Dual 13+0.08MP Rear, 8MP Front
Features: Side Fingerprint, 18W Fast Charge, Type-C"
 Xiaomi Redmi A3 Smartphone (4/64GB),"10,999৳","Display: 6.71"" HD+ 90Hz IPS Dot Drop Display
Processor: Mediatek Helio G36 (12nm)
Camera: Dual 8+0.08MP on Rear, 5MP Selfie
Features: Side Fingerprint, 5000mAh Battery"
